id;speaker_id;audio_save;transcript_save;expression
113;1;audio_saves\113.wav;transcript_saves\113.txt;YES
114;0;audio_saves\114.wav;transcript_saves\114.txt;EH MY RAT FIFTEEN IS JUMPING ON THE BED
115;0;audio_saves\115.wav;transcript_saves\115.txt;YEAH
116;0;audio_saves\116.wav;transcript_saves\116.txt;THANK YOU
117;0;audio_saves\117.wav;transcript_saves\117.txt;YEAH
118;1;audio_saves\118.wav;transcript_saves\118.txt;YES
119;2;audio_saves\119.wav;transcript_saves\119.txt;YES
120;2;audio_saves\120.wav;transcript_saves\120.txt;HM
121;3;audio_saves\121.wav;transcript_saves\121.txt;YEAH
122;2;audio_saves\122.wav;transcript_saves\122.txt;YEAH
123;3;audio_saves\123.wav;transcript_saves\123.txt;YES I LIKE THE STORY
124;2;audio_saves\124.wav;transcript_saves\124.txt;YES
125;2;audio_saves\125.wav;transcript_saves\125.txt;EH
126;2;audio_saves\126.wav;transcript_saves\126.txt;EH
127;2;audio_saves\127.wav;transcript_saves\127.txt;EH THE CLOTHES ARE VERY FUNNY
128;2;audio_saves\128.wav;transcript_saves\128.txt;THIS ONE
129;2;audio_saves\129.wav;transcript_saves\129.txt;YEAH
130;3;audio_saves\130.wav;transcript_saves\130.txt;I LIKE THIS ONE
131;3;audio_saves\131.wav;transcript_saves\131.txt;EH BECAUSE I LIKE FISH 
132;3;audio_saves\132.wav;transcript_saves\132.txt;AND
133;3;audio_saves\133.wav;transcript_saves\133.txt;YES
134;3;audio_saves\134.wav;transcript_saves\134.txt;YES I HAVE A <unk>
137;2;audio_saves\137.wav;transcript_saves\137.txt;NO I DON'T
138;2;audio_saves\138.wav;transcript_saves\138.txt;I CAN SEE A GIRL AND ON THE PICTURE IT'S RAINY
139;2;audio_saves\139.wav;transcript_saves\139.txt;AND THE GIRL IS LOOKED AT THE WINDOW
140;2;audio_saves\140.wav;transcript_saves\140.txt;AND YES
141;3;audio_saves\141.wav;transcript_saves\141.txt;THIS IS THE PICTURE
142;3;audio_saves\142.wav;transcript_saves\142.txt;THE SHIP IS HERE
143;2;audio_saves\143.wav;transcript_saves\143.txt;EH RED BLUE WHITE GREY AND YES
144;2;audio_saves\144.wav;transcript_saves\144.txt;YES HERE TWO PERSONS
145;2;audio_saves\145.wav;transcript_saves\145.txt;EH TWO GIRLS
146;2;audio_saves\146.wav;transcript_saves\146.txt;OR ONE GIRL AND NO
147;2;audio_saves\147.wav;transcript_saves\147.txt;THIS IS A BATHROOM
148;2;audio_saves\148.wav;transcript_saves\148.txt;AND HERE IS THE GARDEN
149;3;audio_saves\149.wav;transcript_saves\149.txt;WHAT'S THIS
150;3;audio_saves\150.wav;transcript_saves\150.txt;WHAT'S THIS WORD IN
151;3;audio_saves\151.wav;transcript_saves\151.txt;IN ENGLISH
152;3;audio_saves\152.wav;transcript_saves\152.txt;THE CHILD SIT IN A TUB
154;3;audio_saves\154.wav;transcript_saves\154.txt;WITH WATER
155;2;audio_saves\155.wav;transcript_saves\155.txt;AND HERE IS THE SHOWER
156;2;audio_saves\156.wav;transcript_saves\156.txt;EH THIS IS THE EARTH
157;2;audio_saves\157.wav;transcript_saves\157.txt;AL
158;3;audio_saves\158.wav;transcript_saves\158.txt;GREEN
159;3;audio_saves\159.wav;transcript_saves\159.txt;I SEE WHITE <unk> THE COLORS WHITE BLUE AND GREEN
160;2;audio_saves\160.wav;transcript_saves\160.txt;A COW
161;2;audio_saves\161.wav;transcript_saves\161.txt;THIS IS A COW
162;3;audio_saves\162.wav;transcript_saves\162.txt;A COW EH A COW IS DRINKING WATER
163;3;audio_saves\163.wav;transcript_saves\163.txt;NEIN NO
164;3;audio_saves\164.wav;transcript_saves\164.txt;YES
165;2;audio_saves\165.wav;transcript_saves\165.txt;YEAH
166;2;audio_saves\166.wav;transcript_saves\166.txt;YES
167;2;audio_saves\167.wav;transcript_saves\167.txt;YES
168;2;audio_saves\168.wav;transcript_saves\168.txt;EH AND THE GIRL HAS A RED SWIMSUIT WITH WHITE EH
169;3;audio_saves\169.wav;transcript_saves\169.txt;POINTS
170;2;audio_saves\170.wav;transcript_saves\170.txt;YES
171;3;audio_saves\171.wav;transcript_saves\171.txt;EH
173;2;audio_saves\173.wav;transcript_saves\173.txt;HERE
174;2;audio_saves\174.wav;transcript_saves\174.txt;YES AND GREEN BLUE AND YELLOW
175;3;audio_saves\175.wav;transcript_saves\175.txt;EH
176;3;audio_saves\176.wav;transcript_saves\176.txt;EH
178;3;audio_saves\178.wav;transcript_saves\178.txt;IT'S A TREE
179;3;audio_saves\179.wav;transcript_saves\179.txt;IS IT RAINING RAINY 
180;3;audio_saves\180.wav;transcript_saves\180.txt;IT'S GREEN GRASS
181;2;audio_saves\181.wav;transcript_saves\181.txt;YES I SEE A TREE
182;2;audio_saves\182.wav;transcript_saves\182.txt;I SEE ON THE PICTURE IT'S RAINY
184;2;audio_saves\184.wav;transcript_saves\184.txt;HERE
185;2;audio_saves\185.wav;transcript_saves\185.txt;SNOW
186;2;audio_saves\186.wav;transcript_saves\186.txt;ON THE TOP OF THE MOUNTAIN IS SNOW
188;3;audio_saves\188.wav;transcript_saves\188.txt;WATER CYCLE 
189;2;audio_saves\189.wav;transcript_saves\189.txt;YES
190;3;audio_saves\190.wav;transcript_saves\190.txt;YEAH
191;2;audio_saves\191.wav;transcript_saves\191.txt;OKAY
192;3;audio_saves\192.wav;transcript_saves\192.txt;OKAY
193;3;audio_saves\193.wav;transcript_saves\193.txt;EH
194;3;audio_saves\194.wav;transcript_saves\194.txt;YEAH
195;2;audio_saves\195.wav;transcript_saves\195.txt;YES
196;2;audio_saves\196.wav;transcript_saves\196.txt;EH I SEE A RAT ON THE TABLE
197;3;audio_saves\197.wav;transcript_saves\197.txt;I SEE A RAT EH UNDER THE TABLE
198;2;audio_saves\198.wav;transcript_saves\198.txt;OKAY
199;2;audio_saves\199.wav;transcript_saves\199.txt;EH I SEE A RAT UNDER THE CHAIR
200;3;audio_saves\200.wav;transcript_saves\200.txt;I SEE A RAT EH BEHIND THE BED
201;3;audio_saves\201.wav;transcript_saves\201.txt;HERE
204;3;audio_saves\204.wav;transcript_saves\204.txt;I SEE A RAT EH IN FRONT OF
205;2;audio_saves\205.wav;transcript_saves\205.txt;I SEE A RAT EH IN THE BOX 
207;2;audio_saves\207.wav;transcript_saves\207.txt;I SEE A RAT BEHIND THE BOX
208;3;audio_saves\208.wav;transcript_saves\208.txt;EH I SEE A RAT EH EH BEHIND THE CHAIR
209;2;audio_saves\209.wav;transcript_saves\209.txt;I SEE A RAT UNDER THE BANK 
210;3;audio_saves\210.wav;transcript_saves\210.txt;UNDER
211;3;audio_saves\211.wav;transcript_saves\211.txt;I SEE A RAT UNDER THE <unk> 
212;2;audio_saves\212.wav;transcript_saves\212.txt;I SEE A RAT EH IN FRONT OF THE TABLE
213;3;audio_saves\213.wav;transcript_saves\213.txt;I SEE A RAT BEHIND THE
214;2;audio_saves\214.wav;transcript_saves\214.txt;I SEE A RAT EH ON THE WA <unk> ON THE
215;2;audio_saves\215.wav;transcript_saves\215.txt;EH
216;2;audio_saves\216.wav;transcript_saves\216.txt;YES
217;3;audio_saves\217.wav;transcript_saves\217.txt;I SEE A RAT IN FRONT OF THE BOOKS
218;4;audio_saves\218.wav;transcript_saves\218.txt;YES
219;4;audio_saves\219.wav;transcript_saves\219.txt;YES
220;5;audio_saves\220.wav;transcript_saves\220.txt;HM
221;4;audio_saves\221.wav;transcript_saves\221.txt;I DON'T KNOW
222;4;audio_saves\222.wav;transcript_saves\222.txt;YEAH I DON'T KNOW
223;5;audio_saves\223.wav;transcript_saves\223.txt;HM
224;4;audio_saves\224.wav;transcript_saves\224.txt;YES
225;5;audio_saves\225.wav;transcript_saves\225.txt;THE STORY IS ABOUT THE EMPEROR
226;5;audio_saves\226.wav;transcript_saves\226.txt;HE HAVES A LOT OF CLOTHES
227;5;audio_saves\227.wav;transcript_saves\227.txt;AND THERE COME A SWINDLER TWO SWINDLERS HE SAYS TO THE EMPEROR
228;5;audio_saves\228.wav;transcript_saves\228.txt;WE ARE THE BEST
229;4;audio_saves\229.wav;transcript_saves\229.txt;WEAVERS 
230;5;audio_saves\230.wav;transcript_saves\230.txt;WEAVERS OVER THE WORLD
231;5;audio_saves\231.wav;transcript_saves\231.txt;AND THE EMPEROR SAYS
232;5;audio_saves\232.wav;transcript_saves\232.txt;THAT'S WONDERFUL
233;5;audio_saves\233.wav;transcript_saves\233.txt;HE THE EMPEROR <unk> THE SWINDLERS A LOT OF MONEYS 
234;5;audio_saves\234.wav;transcript_saves\234.txt;YEAH
235;4;audio_saves\235.wav;transcript_saves\235.txt;PAGE NINE
236;4;audio_saves\236.wav;transcript_saves\236.txt;WHY  THE SWINDLERS A GOOD LOOM HAVE
237;5;audio_saves\237.wav;transcript_saves\237.txt;I LIKE THIS PAGE WHY THE CLOTHES SO
238;5;audio_saves\238.wav;transcript_saves\238.txt;THIS ONE
239;5;audio_saves\239.wav;transcript_saves\239.txt;A FISH
240;4;audio_saves\240.wav;transcript_saves\240.txt;I LIKE EH THIS
241;4;audio_saves\241.wav;transcript_saves\241.txt;IT IS COLORFUL
242;4;audio_saves\242.wav;transcript_saves\242.txt;EH GOLD
243;5;audio_saves\243.wav;transcript_saves\243.txt;MY FAVORITE COLOR IS SILVER
244;4;audio_saves\244.wav;transcript_saves\244.txt;I SEE A GIRL
245;4;audio_saves\245.wav;transcript_saves\245.txt;I SEE A GIRL ON A WINDOW
246;5;audio_saves\246.wav;transcript_saves\246.txt;I CAN SEE A GIRL HE IS SWIMMING IN A SEA
247;5;audio_saves\247.wav;transcript_saves\247.txt;THIS
248;4;audio_saves\248.wav;transcript_saves\248.txt;THIS
249;5;audio_saves\249.wav;transcript_saves\249.txt;HERE
250;4;audio_saves\250.wav;transcript_saves\250.txt;RED WHITE
251;5;audio_saves\251.wav;transcript_saves\251.txt;BLUE 
252;4;audio_saves\252.wav;transcript_saves\252.txt;BLUE AND YELLOW
253;4;audio_saves\253.wav;transcript_saves\253.txt;HERE AND HERE
254;4;audio_saves\254.wav;transcript_saves\254.txt;SMALL SMALL SHIP
255;4;audio_saves\255.wav;transcript_saves\255.txt;YES
256;5;audio_saves\256.wav;transcript_saves\256.txt;NO IT IS A SMALL SHIP
258;4;audio_saves\258.wav;transcript_saves\258.txt;I SEE A CHILDREN 
259;4;audio_saves\259.wav;transcript_saves\259.txt;HE EH
260;4;audio_saves\260.wav;transcript_saves\260.txt;SHE EH
261;4;audio_saves\261.wav;transcript_saves\261.txt;OR
262;5;audio_saves\262.wav;transcript_saves\262.txt;YEAH
263;4;audio_saves\263.wav;transcript_saves\263.txt;AND PLAY WITH HIS <unk>
265;4;audio_saves\265.wav;transcript_saves\265.txt;PLAY WITH HIS <unk>
266;5;audio_saves\266.wav;transcript_saves\266.txt;YELLOW BLUE RED
267;4;audio_saves\267.wav;transcript_saves\267.txt;WHITE 
268;5;audio_saves\268.wav;transcript_saves\268.txt;WHITE PINK AND
269;4;audio_saves\269.wav;transcript_saves\269.txt;GREEN 
270;5;audio_saves\270.wav;transcript_saves\270.txt;GREEN
271;5;audio_saves\271.wav;transcript_saves\271.txt;HE IS
272;4;audio_saves\272.wav;transcript_saves\272.txt;HE GIVE THE FLOWERS
273;5;audio_saves\273.wav;transcript_saves\273.txt;WATER 
274;4;audio_saves\274.wav;transcript_saves\274.txt;WATER 
275;4;audio_saves\275.wav;transcript_saves\275.txt;THE EARTH
276;5;audio_saves\276.wav;transcript_saves\276.txt;WHITE BLUE GREEN
277;4;audio_saves\277.wav;transcript_saves\277.txt;I SEE A COW
278;4;audio_saves\278.wav;transcript_saves\278.txt;AND THE COW DRINKING WATER
279;4;audio_saves\279.wav;transcript_saves\279.txt;BROWN PINK GREY BLUE GREEN
280;5;audio_saves\280.wav;transcript_saves\280.txt;AND WHITE 
281;4;audio_saves\281.wav;transcript_saves\281.txt;AH RED YES
282;4;audio_saves\282.wav;transcript_saves\282.txt;YES
283;5;audio_saves\283.wav;transcript_saves\283.txt;I CAN SEE A GIRL HE IS SWIMMING IN WATER
284;5;audio_saves\284.wav;transcript_saves\284.txt;IN THE WATER I CAN SEE A FISH
285;4;audio_saves\285.wav;transcript_saves\285.txt;BLOND
286;5;audio_saves\286.wav;transcript_saves\286.txt;PLANTS
287;4;audio_saves\287.wav;transcript_saves\287.txt;SHE IS BLOND
288;5;audio_saves\288.wav;transcript_saves\288.txt;SHE IS BLOND
289;5;audio_saves\289.wav;transcript_saves\289.txt;YEAH
290;4;audio_saves\290.wav;transcript_saves\290.txt;IT IS A RAINBOW
291;4;audio_saves\291.wav;transcript_saves\291.txt;AND A RAINBOW THE A RAINBOW NEED WATER AND SUN
292;4;audio_saves\292.wav;transcript_saves\292.txt;AND HIS COLORS ARE RED GREEN
293;5;audio_saves\293.wav;transcript_saves\293.txt;YELLOW 
294;4;audio_saves\294.wav;transcript_saves\294.txt;YELLOW AND BLUE
295;5;audio_saves\295.wav;transcript_saves\295.txt;WHEN <unk> RAINS AND WHEN THE SUN SHINE 
296;4;audio_saves\296.wav;transcript_saves\296.txt;EH HE BRINGS US LUCK
297;4;audio_saves\297.wav;transcript_saves\297.txt;TREE 
298;5;audio_saves\298.wav;transcript_saves\298.txt;TREE
299;5;audio_saves\299.wav;transcript_saves\299.txt;HE THE ROOT ARE IN THE
300;4;audio_saves\300.wav;transcript_saves\300.txt;IN THE EARTH 
301;5;audio_saves\301.wav;transcript_saves\301.txt;IN THE EARTH
303;4;audio_saves\303.wav;transcript_saves\303.txt;I SEE F A LOT OF FIELDS
304;4;audio_saves\304.wav;transcript_saves\304.txt;AND A MOUNTAIN WITH SNOW
305;4;audio_saves\305.wav;transcript_saves\305.txt;AND I SEE A POND AND RAIN
306;5;audio_saves\306.wav;transcript_saves\306.txt;THE SUN 
307;4;audio_saves\307.wav;transcript_saves\307.txt;THE SUN
308;4;audio_saves\308.wav;transcript_saves\308.txt;AND A LIGHT TOWER
309;5;audio_saves\309.wav;transcript_saves\309.txt;TREES 
310;4;audio_saves\310.wav;transcript_saves\310.txt;A LOT OF TREES
311;5;audio_saves\311.wav;transcript_saves\311.txt;ON THIS PICTURE IS A SNOWMAN
312;5;audio_saves\312.wav;transcript_saves\312.txt;HE HAS A RED NOSE AND A RED SCARF
313;5;audio_saves\313.wav;transcript_saves\313.txt;IT IS SNOWY
314;5;audio_saves\314.wav;transcript_saves\314.txt;GREEN AND BLACK
315;5;audio_saves\315.wav;transcript_saves\315.txt;I
316;4;audio_saves\316.wav;transcript_saves\316.txt;YES
317;4;audio_saves\317.wav;transcript_saves\317.txt;YES
318;4;audio_saves\318.wav;transcript_saves\318.txt;YES
319;4;audio_saves\319.wav;transcript_saves\319.txt;YEAH
320;5;audio_saves\320.wav;transcript_saves\320.txt;HM
321;4;audio_saves\321.wav;transcript_saves\321.txt;YES
322;4;audio_saves\322.wav;transcript_saves\322.txt;YES
323;4;audio_saves\323.wav;transcript_saves\323.txt;OKAY
324;4;audio_saves\324.wav;transcript_saves\324.txt;YES
325;5;audio_saves\325.wav;transcript_saves\325.txt;HE CAN START
326;4;audio_saves\326.wav;transcript_saves\326.txt;WALL
327;5;audio_saves\327.wav;transcript_saves\327.txt;WALL
329;5;audio_saves\329.wav;transcript_saves\329.txt;I HAVE GOT A RAT ON THE BED
330;4;audio_saves\330.wav;transcript_saves\330.txt;RAT FORTY
331;5;audio_saves\331.wav;transcript_saves\331.txt;RAT FORTY
333;4;audio_saves\333.wav;transcript_saves\333.txt;ON THE BOOKS
335;5;audio_saves\335.wav;transcript_saves\335.txt;I HAVE A RAT IN FRONT OF THE BOOKS
336;4;audio_saves\336.wav;transcript_saves\336.txt;IN FRONT OF THE BOX 
337;4;audio_saves\337.wav;transcript_saves\337.txt;IN FRONT OF THE BOOKS 
338;4;audio_saves\338.wav;transcript_saves\338.txt;I HAVE A RAT IN FRONT OF THE TABLE
339;5;audio_saves\339.wav;transcript_saves\339.txt;I
340;6;audio_saves\340.wav;transcript_saves\340.txt;MY NAME IS SVEN
341;7;audio_saves\341.wav;transcript_saves\341.txt;MY NAME IS LYNN
342;6;audio_saves\342.wav;transcript_saves\342.txt;HM
343;6;audio_saves\343.wav;transcript_saves\343.txt;EH YES THE STORY ABOUT EH A EMPEROR
344;6;audio_saves\344.wav;transcript_saves\344.txt;AND TWO SWINDLERS
345;6;audio_saves\345.wav;transcript_saves\345.txt;THE SWINDLERS SAID TO THE EMPEROR
346;6;audio_saves\346.wav;transcript_saves\346.txt;WE CAN MAKE VERY GOOD CLOTHES
347;6;audio_saves\347.wav;transcript_saves\347.txt;AND THE EMPEROR SAID
348;6;audio_saves\348.wav;transcript_saves\348.txt;YES THE CLOTHES 
349;6;audio_saves\349.wav;transcript_saves\349.txt;I WOULD SEE THE CLOTHES 
350;7;audio_saves\350.wav;transcript_saves\350.txt;THE EMP
351;6;audio_saves\351.wav;transcript_saves\351.txt;YES
352;6;audio_saves\352.wav;transcript_saves\352.txt;AND THE EMPERORS WISEST OLD MINISTER MINISTERS CAN'T SEE THIS WONDERFUL CLOTHES 
353;6;audio_saves\353.wav;transcript_saves\353.txt;AND THEN THEY THINK THAT THE EMPEROR SAY TO THEY
354;6;audio_saves\354.wav;transcript_saves\354.txt;YOU ARE STUPID
355;6;audio_saves\355.wav;transcript_saves\355.txt;AND THEN THE WISEST OLD MINISTER SAY TO THE EMPEROR
356;6;audio_saves\356.wav;transcript_saves\356.txt;THAT'S VERY GOOD CLOTHES 
357;6;audio_saves\357.wav;transcript_saves\357.txt;AND THE EMPEROR TAKE OF HIS OLD CLOTHES AND PUT ON THIS EH THIS WONDERFUL CLOTHES 
358;6;audio_saves\358.wav;transcript_saves\358.txt;BUT HE HADN'T GOT PUT ON CLOTHES 
359;6;audio_saves\359.wav;transcript_saves\359.txt;AND THEN HE GO TO THE PARADE
360;6;audio_saves\360.wav;transcript_saves\360.txt;AND THERE WAS A LITTLE BOY
361;6;audio_saves\361.wav;transcript_saves\361.txt;AND THE LITTLE BOY SAID
362;6;audio_saves\362.wav;transcript_saves\362.txt;AND HIS DAD SAID TO HE
363;6;audio_saves\363.wav;transcript_saves\363.txt;DON'T BE STUPID
364;6;audio_saves\364.wav;transcript_saves\364.txt;THE EMPEROR HAS WONDERFUL CLOTHES ON
365;6;audio_saves\365.wav;transcript_saves\365.txt;AND THEN SAY SAID A WOMAN
366;6;audio_saves\366.wav;transcript_saves\366.txt;YES THE EMPEROR HADN' HAVE HASN'T GOT ANY CLOTHES ON
367;6;audio_saves\367.wav;transcript_saves\367.txt;AND THEN SAID A MAN
368;6;audio_saves\368.wav;transcript_saves\368.txt;YES
369;6;audio_saves\369.wav;transcript_saves\369.txt;AND THEN LAUGH ALL PEOPLE TO THE EMPEROR
370;7;audio_saves\370.wav;transcript_saves\370.txt;YEAH
371;7;audio_saves\371.wav;transcript_saves\371.txt;HM
373;7;audio_saves\373.wav;transcript_saves\373.txt;YES
